Filename,State,Governor,Gender,Party,Type of Speech,New Gov?,2020 Contender?,Region,Trifecta Status,Trifecta,Best Transcript URL,Selector,Note,Lesser Transcript URL,New Best Transcript URL
RhodeIsland_SOTS.txt,Rhode Island,Gina Raimondo,Female,D,State of the state,No,No,Northeast,D trifecta,Trifecta,http://www.governor.ri.gov/newsroom/speeches/2019/state-of-the-state.php,,,https://www.wpri.com/politics/watch-in-full-raimondo-s-2019-state-of-the-state-address/1704615428,http://www.governor.ri.gov/newsroom/speeches/2019/state-of-the-state.php
SouthCarolina_Inaugural.txt,South Carolina,Henry McMaster,Male,R,Inaugural,No,No,South,R trifecta,Trifecta,https://www.thestate.com/news/politics-government/article224125365.html,,,,
SouthCarolina_SOTS.txt,South Carolina,Henry McMaster,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://governor.sc.gov/news/2019-01/state-state-address-prepared-delivery,,,https://www.thestate.com/news/politics-government/article224950720.html,https://governor.sc.gov/news/2019-01/state-state-address-prepared-delivery
SouthDakota_Inaugural.txt,South Dakota,Kristi Noem,Female,R,Inaugural,Yes,No,Midwest,R trifecta,Trifecta,https://www.argusleader.com/story/news/politics/2019/01/05/read-south-dakota-gov-kristi-noem-full-inauguration-speech-governor/2490446002/,,,,
SouthDakota_SOTS.txt,South Dakota,Kristi Noem,Female,R,State of the state,Yes,No,Midwest,R trifecta,Trifecta,https://kelo.com/news/articles/2019/jan/09/transcript-gov-noems-state-of-the-state-address/,,,,https://kelo.com/news/articles/2019/jan/09/transcript-gov-noems-state-of-the-state-address/
Tennessee_Inaugural.txt,Tennessee,Bill Lee,Male,R,Inaugural,Yes,No,South,R trifecta,Trifecta,https://www.tennessean.com/story/news/politics/2019/01/19/bill-lee-inauguration-speech-tennessee-governor/2623988002/,,,,
Tennessee_SOTS.txt,Tennessee,Bill Lee,Male,R,State of the state,Yes,No,South,R trifecta,Trifecta,https://www.tn.gov/governor/about-bill-lee/state-of-the-state-2019-address.html,,,,https://www.tn.gov/governor/about-bill-lee/state-of-the-state-2019-address.html
Texas_Inaugural.txt,Texas,Greg Abbott,Male,R,Inaugural,No,No,South,R trifecta,Trifecta,https://gov.texas.gov/news/post/governor-greg-abbott-delivers-2019-texas-inaugural-speech,,,,
Texas_SOTS.txt,Texas,Greg Abbott,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://gov.texas.gov/news/post/governor-greg-abbott-delivers-state-of-the-state-address,,,,https://gov.texas.gov/news/post/governor-greg-abbott-delivers-state-of-the-state-address
Utah_SOTS.txt,Utah,Gary Herbert,Male,R,State of the state,No,No,West,R trifecta,Trifecta,https://governor.utah.gov/2019/01/31/governor-herberts-2019-state-of-the-state-address-full-transcript/,,,,https://governor.utah.gov/2019/01/31/governor-herberts-2019-state-of-the-state-address-full-transcript/
Vermont_Both.txt,Vermont,Phil Scott,Male,R,Both,No,No,Northeast,Divided government,Divided,https://governor.vermont.gov/press-release/governor-phil-scott-delivers-second-inaugural-address,,,https://www.vpr.org/post/audio-full-transcript-gov-phil-scotts-2019-inaugural-address#stream/0,https://governor.vermont.gov/press-release/governor-phil-scott-delivers-second-inaugural-address
Virginia_SOTS.txt,Virginia,Ralph Northam,Male,D,State of the state,No,No,South,Divided government,Divided,https://www.governor.virginia.gov/newsroom/all-releases/2019/january/headline-837676-en.html,,,,https://www.governor.virginia.gov/newsroom/all-releases/2019/january/headline-837676-en.html
Washington_SOTS.txt,Washington,Jay Inslee,Male,D,State of the state,No,Yes,West,D trifecta,Trifecta,https://www.governor.wa.gov/news-media/news-media/speeches/2019-state-state,,,,https://www.governor.wa.gov/news-media/news-media/speeches/2019-state-state
WestVirginia_SOTS.txt,West Virginia,Jim Justice,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://governor.wv.gov/News/press-releases/2019/Pages/2019-West-Virginia-State-of-the-State-Address-.aspx,,,,https://governor.wv.gov/News/press-releases/2019/Pages/2019-West-Virginia-State-of-the-State-Address-.aspx
Wisconsin_Inaugural.txt,Wisconsin,Tony Evers,Male,D,Inaugural,Yes,No,Midwest,Divided government,Divided,https://evers.wi.gov/Pages/Newsroom/Press-Releases/010719-Governor-Evers-Sworn-in.aspx,,,https://www.wisn.com/article/read-gov-evers-inaugural-address/25778829,
Wisconsin_SOTS.txt,Wisconsin,Tony Evers,Male,D,State of the state,Yes,No,Midwest,Divided government,Divided,https://evers.wi.gov/Pages/Newsroom/Press-Releases/012219-Governor-Evers-Gives-2019-State-of-the-State-Address.aspx,,,https://www.wbay.com/content/news/Evers-to-emphasize-bipartisanship-in-State-of-the-State-address-504712881.html,https://evers.wi.gov/Pages/Newsroom/Press-Releases/012219-Governor-Evers-Gives-2019-State-of-the-State-Address.aspx
Wyoming_Inaugural.txt,Wyoming,Mark Gordon,Male,R,Inaugural,Yes,No,West,R trifecta,Trifecta,https://governor.wyo.gov/media/news-releases/governor-outlines-vision-1719,,,http://kgab.com/gov-mark-gordons-inauguration-speech/,
Wyoming_SOTS.txt,Wyoming,Mark Gordon,Male,R,State of the state,Yes,No,West,R trifecta,Trifecta,https://drive.google.com/file/d/0B5QDlu63DmCiY1AwRnBsM3VuQlJtc01YWkVYUDVFdEhNVWI4/view,,,,https://drive.google.com/file/d/0B5QDlu63DmCiY1AwRnBsM3VuQlJtc01YWkVYUDVFdEhNVWI4/view
